headline,source,posted,description,link
Apple's MagSafe Battery Pack costs $99 - this one on Amazon is $31,BGR,40 minutes ago,Apple released its new MagSafe Battery Pack last year for the   series. It attaches to any... ,https://bgr.com/deals/apples-magsafe-battery-pack-costs-99-this-one-on-amazon-is-31/
Renewed   deals start at $450 today if you hurry,BGR,5 days ago,Anyone who has ever tried a phone from Apple’s   lineup will tell you the same thing. The  ,https://bgr.com/deals/renewed-iphone-12-deals-start-at-450-today-if-you-hurry/
End of 3G service: AT&T will shut down its 3G network Feb. 22. How will it affect you?,USA TODAY via Yahoo Finance,3 hours ago,"AT&T is about to take the first step toward the end of 3G service. On Tuesday, the wireless carrier... ",https://finance.yahoo.com/news/end-3g-t-shut-down-180841521.html?fr=sycsrp_catchall
The 21 Most Stylish iPhone Wallet Cases For Dudes Who Dig Convenience,SPY via Yahoo News,4 days ago,"Like the best AirPods cases, our favorite wallet cases protect our devices and look good... ",https://www.yahoo.com/lifestyle/22-most-stylish-iphone-wallet-190043525.html?fr=sycsrp_catchall
"Forget 120Hz ProMotion on Base iPhone 14, Leak Suggests",The Mac Observer,3 hours ago,The rumor and leak engine has been in full effect surrounding the upcoming 14. Korean... ,https://www.macobserver.com/news/forget-120hz-promotion-on-base-iphone-14-leak-suggests/
Beloved iPhone model 'being killed off this year' and it's bad news for millions,The US Sun,4 days ago,"APPLE is set to kill off a key model this year, according to insiders. The tech giant is set... ",https://www.the-sun.com/tech/4710361/iphone-14-mini-max-screen-size/
How much of a speed boost will the M2 chip bring to the 2022 Macs?,Macworld,1 day ago,"Apple took the basic architecture of the A14 (found in the  ), scaled it up to ultraportable... ",https://www.macworld.com/article/614713/m2-chip-cpu-gpu-speed-performance.html
New Apple Leak Reveals iPhone 14 Design Shock,Forbes,2 days ago,"According to a new report from Engadget Japan, Apple is planning to upgrade both the 14 Pro and 14 Pro Max to 8GB RAM. This is a... ",https://www.forbes.com/sites/gordonkelly/2022/02/20/apple-iphone-14-pro-max-promotion-display-design-upgrade-new-iphone-13-pro-max/
Here's how the AirPods Pro 2's rumored fitness-tracking features could work,Tom's Guide,4 hours ago,"The AirPods Pro 2 have long been rumored to have fitness-tracking capabilities, and we now know have... ",https://www.tomsguide.com/news/heres-how-the-airpods-pro-2s-rumored-fitness-tracking-features-could-work
Best MagSafe chargers in 2022,BGR,3 days ago,"MagSafe has made a big comeback since Apple re-launched it with the release of the  . In this article, we’ll discuss the best MagSafe chargers,... ",https://bgr.com/guides/best-magsafe-chargers/
Best MagSafe chargers in 2022,BGR,3 days ago,"MagSafe has made a big comeback since Apple re-launched it with the release of the  . In this article, we’ll discuss the best MagSafe chargers,... ",https://bgr.com/guides/best-magsafe-chargers/
Samsung Galaxy S22 vs iPhone 13: Which should you buy? | Digital Trends,Digital Trends,6 hours ago,"Samsung just launched its 2022 flagships, the Samsung Galaxy S22, S22 Plus, and S22 Ultra. With... ",https://www.digitaltrends.com/mobile/samsung-galaxy-s22-vs-apple-iphone-13/
iPhone 14 Pro Design Reportedly Finalized As Suppliers Begin Trial Production,MacRumors,15 hours ago,"Apple's largest supplier, Foxconn, has begun trial production of the 14 Pro, suggesting that... ",https://www.macrumors.com/2022/02/21/iphone-14-pro-design-finalized-trial-production/
"The best Apple deals as of Feb. 15: iPad, MacBook, Apple Watch, and more",Mashable via AOL,6 days ago,"UPDATE: Feb. 15, 2022, 11:50 a.m. EST We've updated this post with the latest deals from across the... ",https://www.aol.com/best-apple-deals-sept-14-192709753.html
iPhone users benefit as new report details widespread cellular data speed boost thanks to 5G,9to5Mac,6 days ago,"As 5G spreads around the world, more people have access to faster, low-latency cellular data... ",https://9to5mac.com/2022/02/15/iphone-users-benefit-as-new-report-details-widespread-cellular-data-speed-boost-thanks-to-5g/
Through the Viewfinder: Hitting the slopes,Lancaster Online,8 hours ago,"The XXIV Olympic Winter Games in Beijing, China, conclude today. Back in my younger days, I won a medal or two skiing. This past week, my wife, Bonnie,... ",https://lancasteronline.com/ttv/through-the-viewfinder-hitting-the-slopes/article_dfdef258-90d1-11ec-95c4-0311cead7abd.html
Apple employees finally found a reason why Android phones are better,ZDNet,3 hours ago,"iPhones are completely secure, right? Or are they? Some Apple employees are, apparently, preferring... ",https://www.zdnet.com/article/apple-employees-finally-found-a-reason-why-android-phones-are-better/
"Man shot, robbed in Brooklyn home invasion",New York Daily News,19 hours ago,A woman knocked on the 39-year-old victim’s door on Voorhies Ave. near Shore Pkwy. in Sheepshead Bay about 2 p.m. Saturday claiming he owed “monthly... ,https://www.nydailynews.com/new-york/nyc-crime/ny-man-shot-robbed-brooklyn-home-invasion-20220221-6i6sm57mvjhy3ep3i6hov73rou-story.html
Review: Apple MagSafe Duo Charger,Forbes,16 hours ago,It’s not surprising that people who own an iPhone tend to also own other Apple gadgets including an Apple Watch and AirPods. Combination chargers that... ,https://www.forbes.com/sites/bradmoon/2022/02/21/review-apple-magsafe-duo-charger/
iPhone 14 — here's what Apple can learn from the Samsung Galaxy S22,Tom's Guide,16 hours ago,It's safe to say Apple does not need to take its cues from Samsung when it comes to launching... ,https://www.tomsguide.com/opinion/iphone-14-heres-what-apple-can-learn-from-the-samsung-galaxy-s22
iPhone 14: Redesigned Pro models could have as much RAM as a Galaxy S22 Ultra,Macworld,3 days ago,"Now that the 13 has launched, we are officially on 14 watch. Apple tests many new... ",https://www.macworld.com/article/352696/iphone-14-rumors-specs-design-release-price.html
Violent home invasion in Brooklyn: NYPD,FOX 5 New York,21 hours ago,The search is on for a trio of armed suspects after a violent home invasion in Brooklyn. The NYPD says that around 2 p.m. on Saturday at an apartment on... ,https://www.fox5ny.com/news/violent-home-invasion-in-brooklyn-nypd
New Apple Leak Reveals iPhone 14 Design Shock,Forbes,3 days ago,"LTPS displays were used by older iPhones such as the iPhone X, iPhone 11 and   as well as the standard iPhone 13 and iPhone 13 Mini, all models... ",https://www.forbes.com/sites/gordonkelly/2022/02/19/apple-iphone-14-pro-max-promotion-display-design-upgrade-new-iphone-13-pro-max/
Best MagSafe and Magnetic iPhone Accessories for 2022,CNET,6 days ago,"After its debut in the   models, Apple carried over its MagSafe charging system to the... ",https://www.cnet.com/tech/mobile/best-magsafe-and-magnetic-iphone-accessories/
iOS 15.4 beta 3 and iPadOS 15.4 beta 3 now available on iPhone and iPad,BGR via Yahoo News,6 days ago,"Apple rolled out iOS 15.4 beta 3 and iPadOS 15.4 beta 3 on Tuesday, February 15th. As soon as we... ",https://www.yahoo.com/entertainment/ios-15-beta-8-ipados-171023238.html?fr=sycsrp_catchall
Your M1 Mac might soon start to feel old | ZDNet,ZDNet,5 hours ago,"Apple, never a company to sit still, looks set to continue to push new Macs powered by updated Apple Silicon chips out of the door over the course of... ",https://www.zdnet.com/article/your-m1-mac-might-soon-start-to-feel-old/
What '1X' Means On Your iPhone Camera,Screen Rant,6 days ago,camera app can be confusing if upgrading. ,https://screenrant.com/iphone-camera-app-1x-setting-meaning/
Google quietly adds iOS-like feature to Android 12 Pixel launcher,Android Authority,6 days ago,"When you download an app from the Apple App Store, an icon heads directly to your home screen or the... ",https://www.androidauthority.com/android-12-install-icons-3109157/
Best Samsung Galaxy S22 and Galaxy Tab S8 Pre-Order Deals,SlickDeals via Yahoo News,5 days ago,The Samsung Galaxy S22 and Galaxy Tab S8 both arrive on February 25th. The upcoming tablet and... ,https://www.yahoo.com/lifestyle/best-samsung-galaxy-s22-galaxy-063036965.html?fr=sycsrp_catchall
Apple Seeds Third Betas of iOS 15.4 and iPadOS 15.4 to Developers,MacRumors,6 days ago,Apple today seeded the third betas of upcoming iOS 15.4 and iPadOS 15.4 updates to developers for... ,https://www.macrumors.com/2022/02/15/apple-seeds-ios-15-4-beta-3/
How to Set Up Notify When Left Behind on Your iPhone or iPad,MakeUseOf,3 days ago,"With the iOS feature Notify When Left Behind, you can make your or iPad notify you if you... ",https://www.makeuseof.com/how-to-use-notify-when-left-behind-iphone/
I Gave My Child a Smartphone and It's Been the Best Thing for Her,Wired News,1 day ago,"Anything they do on their phone, we are allowed to see. Alpern agrees that although young people... ",https://www.wired.com/story/smartphone-children-communication-disabilities/
How powerful will the Apple M2 be? We may have a hint | Digital Trends,Digital Trends,4 days ago,"Using Apple’s A14 is to A15 mobile processors as stand-ins, Cross notes that the M1 chip is based on... ",https://www.digitaltrends.com/computing/how-powerful-will-the-apple-m2-be/
"iPhone 14 Pro Rumored to Feature 8GB RAM, Matching Galaxy S22",MacRumors,5 days ago,"The 14 Pro will feature 8GB of RAM, the most memory ever offered in an , according to... ",https://www.macrumors.com/2022/02/17/iphone-14-pro-8gb-ram-to-match-galaxy-s22/
"Man shot, tied up in Brooklyn home invasion",WPIX 11 New York,1 day ago,"SHEEPSHEAD BAY, Brooklyn (PIX11) — Robbers forced their way into a man’s Brooklyn apartment, shot him and tied him up on Saturday, police said. The... ",https://pix11.com/news/local-news/brooklyn/man-shot-tied-up-in-brooklyn-home-invasion/
The Most-awaited iPhone 14 Series To Have This Design Bump,Mashable,6 days ago,"Significantly, Apple is someone who adhere to a transparent pattern for launches every year. This is due to the fact that Apple performs the same thing with iPhones every year. According ... ",https://in.mashable.com/tech/27533/the-most-awaited-iphone-14-series-to-have-this-design-bump
The best Samsung Galaxy Tab S8 Ultra keyboard cases | Digital Trends,Digital Trends,3 days ago,"Samsung’s Galaxy Tab S8 Tab tablets have hit the shelves, and if you want to go big, then the... ",https://www.digitaltrends.com/mobile/best-samsung-galaxy-tab-s8-ultra-keyboard-cases/
"Apple's Dominance of US Smartphone Market Exceeds 50% Again With iPhone, Samsung Trails Distantly",Benzinga,5 days ago,Apple Inc (NASDAQ: AAPL) boosted its dominance of the U.S. smartphone market in the previous... ,https://www.benzinga.com/news/22/02/25654160/apples-dominance-of-us-smartphone-market-exceeds-50-again-with-iphone-samsung-trails-distantly
"Crooks con Brooklyn man into opening apartment door, shoot him in leg, tie him up and steal his...",NY Daily News via Yahoo News,1 day ago,"The trickster, a woman wielding a clipboard, came knocking on the 39-year-old victim’s door on Voorhies Ave. near Shore Parkway in Sheepshead Bay about 2 p.m. Saturday, telling him he hadn’t ... ",https://news.yahoo.com/crooks-con-brooklyn-man-opening-133800643.html?fr=sycsrp_catchall
Download: iOS 15.4 Beta 3 Now Available for iPhone and iPad,Wccftech,6 days ago,You can now go ahead and download beta 3 of iOS 15.4 and iPadOS 15.4 on your and iPad if... ,https://wccftech.com/download-ios-15-4-beta-3-now-available-for-iphone-and-ipad/
Apple Reveals South Korean Short Film Shot Using iPhone 13 Pro Only,iTech Post,3 days ago,The said film was shot by the director using an 13 Pro only. Since the release of the ... ,https://www.itechpost.com/articles/109202/20220218/apple-iphone-13-pro-iphone-13-iphone-13-camera-shot-on-iphone-challenge.htm
iPhone 14 Pro leaks and rumors — everything we know so far,Tom's Guide,4 days ago,Apple’s iPhone 14 Pro is set to be the phone that could shake up the iPhone range by potentially... ,https://www.tomsguide.com/news/iphone-14-pro
iPhone ruled the smartphone market in 2021 despite supply chain issues,9to5Mac,6 days ago,New data is out from Counterpoint Research providing their analysis on U.S. smartphone market shares... ,https://9to5mac.com/2022/02/15/iphone-ruled-the-smartphone-market-in-2021-despite-supply-chain-issues/
AirTag: New York Attorney General alerts consumers of ‘tracking threat’ using Apple’s device -...,EconoTimes,4 days ago,New York Attorney General Letitia James is the latest public official to voice concerns over the... ,https://www.econotimes.com/AirTag-New-York-Attorney-General-alerts-consumers-of-tracking-threat-using-Apples-device-1627325
Latest iPhone leaks suggest that iPhone 14 Pro might come with 8GB RAM,IGN Videogames,3 days ago,Apple leaks are quite popular amongst fans across the globe as the hype for its products is just... ,https://in.ign.com/iphone/170530/news/latest-iphone-leaks-suggest-that-iphone-14-pro-might-come-with-8gb-ram
How to Capture Yosemite’s Elusive Firefall From a Photographer Who Nailed It,Climbing via Yahoo Sports,6 days ago,The sight of Horsetail Fall glowing in the last rays of the setting sun is a magical moment to... ,https://sports.yahoo.com/capture-yosemite-elusive-firefall-photographer-150048040.html?fr=sycsrp_catchall
iOS 15.4 Will Let You Download and Install Software Updates Over 4G,Wccftech,4 days ago,Apple will potentially release iOS 15.4 after its rumored Spring event next month. While the dates... ,https://wccftech.com/ios-15-4-will-let-you-download-and-install-software-updates-over-4g/
"Violent Brooklyn home invasion leaves man tied up, shot in leg: cops | amNewYork",amNewYork,1 day ago,Three people who carried out a violent Brooklyn home invasion on Saturday afternoon remain on the... ,https://www.amny.com/news/violent-brooklyn-home-invasion-man-shot-tied-up/
Why Samsung and iPhone devices can’t connect to 5G in Malaysia? Here’s DNB’s response,MSN News,5 days ago,Digital Nasional Berhad (DNB)’s 5G network went live on 15th December 2021 and they are offering... ,https://www.msn.com/en-my/news/national/why-samsung-and-iphone-devices-can-t-connect-to-5g-in-malaysia-here-s-dnb-s-response/ar-AATVeis
Apple Is Poised for Big Gains Amid Spring Hardware Launches,InvestorPlace,6 days ago,"Apple (NASDAQ:AAPL), the most valuable global corporation, is a staple in many portfolios due to... ",https://investorplace.com/2022/02/apple-is-poised-for-big-gains-amid-spring-hardware-launches/
These are the best Apple Watch apps to have on your wrist in 2022,9to5Mac,4 days ago,It’s challenging to find good third-party Apple Watch apps. Not only because Apple offers limited... ,https://9to5mac.com/2022/02/17/best-apple-watch-apps-2022/
This stunning foldable iPhone concept one-ups the Galaxy Z Flip 3,Tom's Guide,4 days ago,"First, it's pretty clear Apple is interested in making such a device, based on patents filed by the company. The latest comes from designer Antonio De Rosa who posted a series of foldable ... ",https://www.tomsguide.com/news/this-stunning-foldable-iphone-concept-one-ups-the-galaxy-z-flip-3
We tested Apple’s new option to unlock an iPhone while wearing a mask,7 News Boston,4 days ago,"My face was covered with sunglasses, a baseball cap and my black KN95 mask. The device swiftly... ",https://whdh.com/news/we-tested-apples-new-option-to-unlock-an-iphone-while-wearing-a-mask/
We tested Apple's new option to unlock an iPhone while wearing a mask | News Channel 3-12,KEYT 3 Santa Barbara,4 days ago,"My face was covered with sunglasses, a baseball cap and my black KN95 mask. The device swiftly... ",https://keyt.com/news/2022/02/17/we-tested-apples-new-option-to-unlock-an-iphone-while-wearing-a-mask/
"Apple's M1 Pro MacBook Pro sees $249 discount in Thursday's best deals, Eve HomeKit gear, more",9to5Mac,4 days ago,"This M1 Pro MacBook discount has delivered a new Amazon all-time low at $249 off, alongside Eve... ",https://9to5mac.com/2022/02/17/m1-pro-macbook-discount-eve-homekit-more/
Walabot For iPhone: How Does It Work?,Screen Rant,5 days ago,"An can see through walls with the help of Walabot, identifying wooden studs, pipes, wires, and even moving objects such as mice or birds. Apple's... ",https://screenrant.com/how-walabot-iphone-diy-app-works/
"Target, Amazon and 4 More Retailers That Will Reward You for Turning In Your Old Stuff",GOBankingRates via Yahoo Finance,2 days ago,"If you have unused electronics, video games or even car seats at home, you may be able to trade... ",https://finance.yahoo.com/news/target-amazon-4-more-retailers-130056584.html?fr=sycsrp_catchall
"Kate Spade Bags Start at Just $59 at This Secret Sale, and No, That's Not a Typo",People via Yahoo News,2 days ago,"Shoppers who are new to the Kate Spade surprise sale world might be in for a shock, however, because... ",https://www.yahoo.com/entertainment/kate-spade-bags-start-just-170000642.html?fr=sycsrp_catchall
iPhone 14 Pro to Feature The Same Amount of RAM as Samsung's Galaxy S22,Wccftech,4 days ago,"Apple is still months away from announcing its 14 lineup and rumors related to the device keep pouring in. According to the latest, Apple's 14 Pro models will feature 8GB of RAM ... ",https://wccftech.com/iphone-14-pro-to-feature-the-same-amount-of-ram-as-samsungs-galaxy-s22/
"iPhone 14 Pro might get 8GB of RAM, new rumor says",BGR,4 days ago,"The 14 series might feature the first iPhones with 8GB of RAM, which would mean the would match the Galaxy S22 other recent flagship... ",https://bgr.com/tech/iphone-14-pro-might-get-8gb-of-ram-new-rumor-says/
"iPhone SE 3 Wish List: More Bang for Our Buck, Please",CNET,3 days ago,"There's a wide assortment of upgrades we want from Apple's next cheap smartphone, especially as... ",https://www.cnet.com/tech/mobile/iphone-se-3-wishlist-more-bang-for-our-buck-please/
Is Apple Stock A Buy After iPhone Maker's Earnings Report?,Investor's Business Daily,7 days ago,Apple last month became the first company to reach a market capitalization of $3 trillion. In... ,https://www.investors.com/research/apple-stock-buy-now/?src=A00220&yptr=yahoo
2021-2022 Phone Depreciation Report: BankMyCell Shows Which Phones Burn Consumers Cash,PRWeb,6 days ago,"NEW YORK (PRWEB) February 16, 2022 -- Through 2021-2022, cell phone trade-in site BankMyCell tracked 500 device resale values from multiple vendors hourly. Our report shows which smartphones ... ",https://www.prweb.com/releases/2022/2/prweb18501535.htm
How Will Apple’s Vendors Fare As IPhone Demand Cools,Forbes,4 days ago,The theme has been impacted by the broader sell-off in technology and growth stocks amid concerns of surging inflation and the prospect of rising... ,https://www.forbes.com/sites/greatspeculations/2022/02/18/how-will-apples-vendors-fare-as-iphone-demand-cools/
iPhone SE: Still a Good Buy in 2022?,CNET,3 days ago,"Apple's newest budget phone, the expected SE 3, just might launch around March 8. Now that this new version of the affordable is likely... ",https://www.cnet.com/tech/mobile/iphone-se-still-a-good-buy-in-2022/
"Top 14 Wednesday Amazon Deals: $22 California King Sheet Sets, $160 Robot Hard Floor Vacuum/Mop",SPY via Yahoo News,5 days ago,Follow SPY on Instagram... ,https://www.yahoo.com/lifestyle/top-10-wednesday-amazon-deals-164549674.html?fr=sycsrp_catchall
"How to restart, force restart, or reset any iPhone model",Business Insider,3 days ago,"To restart your , press and hold down the Power and Volume buttons until a slider appears... ",https://www.businessinsider.com/how-to-restart-iphone
Crime Roundup: Appliance theft under investigation,The Daily Reflector,6 days ago,"GREENVILLE— Appliances valued at $4,900 were reported stolen from a home located in the 700 block of Hooker Road at 9:32 a.m. on Feb. 13. ",https://www.reflector.com/news/crime/crime-roundup-appliance-theft-under-investigation/article_58bc5b4f-564c-5727-86e7-94f22da46745.html
"iPhone SE 3: Apple, Please Don't Get Rid of Touch ID",CNET,4 days ago,"Although we're not expecting to see the rumored 14 until the fall, we won't have to wait that long for Apple's next . There are many... ",https://www.cnet.com/tech/mobile/iphone-se-3-apple-please-dont-get-rid-of-the-touch-id/
Your Android smartphone could be worthless after a few years | ZDNet,ZDNet,5 days ago,"Buy some Android smartphones, and they could be worthless in a few years. Cell phone trade-in site... ",https://www.zdnet.com/article/your-android-smartphone-could-be-worthless-after-a-few-years/
Police Blotter: Woman Waiting For Pizza Won't Move Her Car; Wife Pepper-Sprays Her Husband,The Chattanoogan,3 days ago,Police were called because there was a vehicle parked in the middle of the road at 205 Broad St. in front of Mellow Mushroom. A man who works with the Parking Authority Downtown had called police ... ,https://www.chattanoogan.com/2022/2/18/443245/Police-Blotter-Woman-Waiting-For-Pizza.aspx
Mother-daughter duo in feature film,"The Daily Independent, Ashland, Ky. via Yahoo News",2 days ago,"Auretta Hensley, theater director at Aspire! ""I was the mom of the female lead character,"" Hensley said. ""This was my first time in a movie, but my daughter has quite a following on TicTok with ... ",https://news.yahoo.com/mother-daughter-duo-feature-film-224700031.html?fr=sycsrp_catchall
Most eco-friendly smartphone? Apple vs Samsung in the race against e-waste | ZDNet,ZDNet,5 days ago,Electronic waste (e-waste) is one of the biggest environmental issues currently plaguing our planet.... ,https://www.zdnet.com/article/most-eco-friendly-smartphone-apple-vs-samsung-in-the-race-against-e-waste/
Gadgeteer team – gear we’re using in 2022 (Dave Moore) - The Gadgeteer,The Gadgeteer,6 days ago,"When you’re done reading this article, go check out the rest of the Gadgeteer team’s favorite gear of 2022 articles. What a pleasure to carry a Leatherman PST instead of needle-nose pliers, ... ",https://the-gadgeteer.com/2022/02/15/gadgeteer-team-gear-were-using-in-2022-dave-moore/
Google's Chrome OS Flex supporting Macs that Apple has long forgotten | ZDNet,ZDNet,5 days ago,A way to bring new life -- and security -- to your otherwise obsolete Mac. ,https://www.zdnet.com/article/google-chrome-os-flex-supporting-macs-that-apple-has-long-forgotten/
Echo Auto deal adds Alexa to your car for $25,BGR via Yahoo News,4 days ago,The Amazon online marketplace and the company’s staggering nationwide distribution network are obviously both incredible feats. It’s entirely possible... ,https://www.yahoo.com/entertainment/echo-auto-deal-adds-alexa-191100334.html?fr=sycsrp_catchall
Best air purifier for viruses: Aura Air Purifier is unlike anything you’ve seen,BGR via Yahoo News,4 days ago,"With everything going on in the world right now, it shouldn’t be a surprise that air purifiers are... ",https://www.yahoo.com/entertainment/best-air-purifier-viruses-aura-175300400.html?fr=sycsrp_catchall
We're facing a colossal Apple environmental timebomb | ZDNet,ZDNet,4 days ago,Apple doesn't disclose unit sales anymore -- we can safely assume that over the course of the last... ,https://www.zdnet.com/article/were-facing-a-colossal-apple-environmental-timebomb/
The 3G network shutdown will impact more than just phones,CNN.com,6 days ago,"With AT&T's 3G network shutting down next week, and other carriers following suit later this year, a... ",https://www.cnn.com/2022/02/15/tech/3g-network-shut-down/index.html
We tested Apple's new option to unlock an iPhone while wearing a mask,CNN.com,4 days ago,"New York (CNN Business)I stood outside a busy New York City subway stop recently, dressed like a... ",https://www.cnn.com/2022/02/17/tech/apple-face-id-mask/index.html
Don't waste your money on these Apple products: February 2022 edition | ZDNet,ZDNet,4 days ago,"It's a new year, and we can expect a whole raft of product updates from Apple over the coming year.... ",https://www.zdnet.com/article/dont-waste-your-money-on-these-apple-products-february-2022-edition/
"Apple VR, AR Headset Rumors: A Higher-End Meta Quest",CNET,3 days ago,"Tech behemoths like Facebook parent Meta, Microsoft and Samsung are pushing the metaverse concept hard -- and although Apple hasn't used the word... ",https://www.cnet.com/tech/computing/apple-vr-ar-headset-rumors-a-higher-end-meta-quest/
How to use an iPad Pro to power your home office | ZDNet,ZDNet,5 days ago,"In fact, I prefer working on my iPad Pro over my MacBook Pro and any Windows laptop I have access... ",https://www.zdnet.com/article/how-to-use-an-ipad-pro-to-power-your-home-office/
Best green phone 2022: Sustainable and eco-friendly phones | ZDNet,ZDNet,6 days ago,"Sustainability has become a huge factor for many consumers, and people are looking for more... ",https://www.zdnet.com/article/best-green-phone/
Why Apple spent billions to get to 5G — services,Computerworld,5 days ago,Carriers are ramping up their 5G infrastructure even as Apple has introduced iPhones that support the standard. Data speeds are rapidly improving as the... ,https://www.computerworld.com/article/3649800/why-apple-spent-billions-to-get-to-5g-services.html
